policy_number,age,months_as_customer,policy_state,policy_csl,policy_deductable,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,capital-gains,capital-loss,incident_type,incident_severity,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,property_damage,police_report_available,total_claim_amount,auto_make,auto_year,vehicle_claim,property_claim,injury_claim,fraud_reported
POL31899593,53,11,OH,500/1000,1000,2478.62,M,High School,Retail,30541.878718425825,21058.98963046967,Broken Windshield,Minor Damage,14,1,0,0,NO,YES,1888.86,Nissan,2022,830.59,319.29,33.61,Y
POL11699213,54,53,IL,250/500,2000,4515.59,F,PhD,Finance,28176.750210892216,20422.15783956271,Vehicle Rollover,Total Loss,0,3,1,2,NO,YES,10592.33,Mercedes,2020,5202.59,3916.66,1432.9,N
POL53470507,45,6,IL,500/1000,1000,3728.28,M,BS,Construction,35946.32640270557,12601.465042426968,Hit and Run,Trivial Damage,23,1,2,0,YES,NO,984.82,Toyota,2023,452.21,367.82,227.63,Y
POL07750884,45,177,IN,500/1000,1500,3352.87,M,BS,Construction,14385.184823617203,1270.4128965840532,Multi-Vehicle Collision,Total Loss,15,1,1,1,YES,YES,26919.82990673466,Toyota,2020,3403.22,963.74,602.87,Y
POL94999635,59,40,IL,100/300,500,819.67,F,PhD,Construction,41614.210818937805,22243.409193516156,Broken Windshield,Major Damage,8,1,2,1,NO,YES,6269.81,Toyota,2012,4091.4,968.48,903.43,N
POL76866213,60,44,IL,250/500,2000,1289.01,F,BS,Legal,47263.774342800345,28613.316397441275,Parked Car Damage,Major Damage,11,1,1,1,YES,YES,7604.6,Nissan,2015,3569.19,2404.74,1997.32,N
POL80595194,38,102,OH,250/500,500,2426.69,F,BS,Tech,44100.996974894966,15150.852250865093,Parked Car Damage,Major Damage,9,3,0,0,YES,NO,1629.62,Audi,2017,813.12,460.38,251.67,N
POL84542259,41,105,IN,250/500,500,4893.69,M,High School,Medical,19567.6162508717,28614.95396672195,Theft,Major Damage,3,1,0,2,YES,NO,2248.68,BMW,2021,986.83,485.8,22.77,N
POL55133059,59,136,NY,500/1000,2000,2004.84,F,High School,Other,38110.26897122291,16047.020843016368,Broken Windshield,Trivial Damage,22,1,0,1,YES,NO,1725.32,Toyota,2025,951.38,335.41,253.4,N
POL15419635,57,189,IL,100/300,2000,3334.89,M,High School,Retail,18251.45879215114,5021.082664133648,Multi-Vehicle Collision,Major Damage,14,1,1,0,NO,NO,1690.07,Mercedes,2007,941.25,480.33,127.42,N
POL11096745,19,127,IL,500/1000,1000,4950.08,F,MS,Tech,43155.67356979546,7183.957735024225,Broken Windshield,Minor Damage,17,1,0,1,YES,NO,26248.80761493762,Honda,2021,2176.59,2035.99,295.62,Y
POL13636590,72,8,NY,100/300,1000,1688.11,F,MS,Education,18769.460421005922,25941.542121525745,Fire Damage,Minor Damage,22,1,0,0,YES,YES,6820.22,Nissan,2012,2910.95,1465.86,243.21,Y
POL50417372,25,46,OH,250/500,1000,1250.0,M,High School,Medical,9302.0812716873,18645.86452075315,Broken Windshield,Minor Damage,2,1,0,2,YES,YES,43123.84539194501,Ford,2025,3427.87,1171.56,110.13,Y
POL23426787,65,4,IN,500/1000,1000,2958.5,M,PhD,Other,24453.09804054453,12431.793906689736,Broken Windshield,Trivial Damage,23,1,0,0,YES,YES,2792.74,Toyota,2010,2083.73,319.57,695.94,N
POL03238128,44,203,OH,100/300,1000,2983.51,F,PhD,Education,6754.374922873519,23981.596691028695,Single Vehicle Collision,Minor Damage,13,1,1,0,NO,NO,7118.61,Audi,2010,3159.75,2352.11,1363.87,N
POL17189935,39,0,PA,500/1000,1500,4648.49,M,PhD,Retail,29346.178489485526,19251.272066861533,Multi-Vehicle Collision,Trivial Damage,0,2,0,0,YES,YES,1927.58,Chevrolet,2010,861.46,341.45,432.15,Y
POL47521127,54,43,IL,100/300,1500,618.94,F,High School,Construction,28828.27034885425,26168.55627382435,Single Vehicle Collision,Trivial Damage,18,2,1,2,YES,YES,372.71,Chevrolet,2014,179.93,89.32,102.41,N
POL59637311,44,149,PA,250/500,500,2333.2,F,MS,Retail,24540.577610546614,29128.288962191047,Hit and Run,Minor Damage,23,1,1,2,NO,YES,1084.58,Audi,2016,513.95,415.39,11.35,N
POL49331088,74,37,IL,500/1000,500,1905.57,F,BS,Tech,30186.506277924585,19537.11729730273,Multi-Vehicle Collision,Trivial Damage,11,1,1,0,NO,YES,4127.43,Chevrolet,2010,2964.44,726.04,914.79,N
POL62306594,46,18,PA,250/500,1000,3069.74,F,PhD,Education,48765.76584580887,29121.663552328144,Fire Damage,Minor Damage,15,2,0,0,YES,NO,7300.55,Ford,2012,4646.35,2262.89,2124.58,N
POL00381803,20,207,NY,500/1000,500,541.99,F,High School,Finance,19163.864554472428,14111.557509301809,Hit and Run,Trivial Damage,21,2,2,1,NO,YES,550.17,BMW,2023,262.28,116.21,82.24,N
POL64851002,61,10,IL,500/1000,1500,3699.79,F,High School,Construction,21138.73283186875,25199.56545835728,Theft,Major Damage,8,2,0,1,YES,YES,46208.16267048242,Honda,2016,5135.24,2419.63,2649.75,Y
POL18241408,30,6,IL,100/300,1500,2682.45,F,BS,Legal,13701.397816845978,27193.345251805553,Multi-Vehicle Collision,Trivial Damage,20,3,0,0,YES,YES,4099.013624998691,Chevrolet,2015,661.84,299.96,169.59,Y
POL17028461,62,8,PA,100/300,500,3653.1,F,MS,Finance,9222.736424944194,1355.1565537951615,Multi-Vehicle Collision,Minor Damage,8,1,1,0,NO,NO,18293.627590682394,BMW,2019,1537.18,447.92,600.39,Y
POL68787321,27,86,IN,100/300,1000,2515.13,F,MS,Education,14459.359947248473,25952.75267993356,Parked Car Damage,Minor Damage,12,1,0,2,YES,YES,5774.6,BMW,2013,4150.29,624.22,663.48,N
POL49997032,53,169,PA,250/500,1500,2633.87,F,High School,Other,10631.9040472301,12260.674985485493,Theft,Minor Damage,14,1,1,0,NO,YES,3282.19,Nissan,2011,1683.74,673.6,140.84,N
POL04347433,26,122,IL,250/500,2000,4529.97,F,BS,Retail,21623.455831259613,11946.86940223349,Parked Car Damage,Minor Damage,11,1,1,2,YES,YES,5934.26,Nissan,2009,4232.75,1909.14,278.14,N
POL44210651,71,81,IL,500/1000,2000,1449.04,M,MS,Construction,11665.676955525156,23448.282650284767,Single Vehicle Collision,Major Damage,23,1,1,2,YES,NO,8395.83,Audi,2007,5341.36,1863.77,2393.35,N
POL00460104,73,153,IN,100/300,500,1478.7,M,BS,Medical,25867.425984133246,7390.001133371512,Broken Windshield,Major Damage,15,1,0,2,YES,YES,11238.64,Honda,2018,6492.08,1512.64,1509.42,N
POL13135557,72,140,OH,250/500,1000,3017.64,F,BS,Construction,14315.506852715333,945.8901573855616,Hit and Run,Trivial Damage,9,2,0,1,YES,YES,2148.16,Toyota,2008,994.4,579.79,318.12,N
POL94207223,44,57,IN,500/1000,500,3471.01,F,High School,Education,21233.910314720277,8134.6823798425185,Vehicle Rollover,Trivial Damage,16,1,0,1,NO,NO,2460.89,Audi,2015,1218.37,267.68,514.82,N
POL95672176,51,6,OH,250/500,1000,2096.1,F,BS,Legal,6462.927203584912,19453.21196002894,Single Vehicle Collision,Major Damage,7,2,3,0,YES,YES,42307.25112502707,Mercedes,2006,4332.12,1775.59,2783.87,Y
POL18989878,68,66,IL,500/1000,1000,2837.8,F,BS,Other,8197.593562982853,28602.86775110835,Theft,Major Damage,23,1,1,0,NO,NO,11683.1,Toyota,2021,8825.02,1991.36,17.09,N
POL77677513,18,121,NY,100/300,2000,1525.35,M,BS,Legal,30705.818407421575,11871.65969324789,Theft,Minor Damage,12,1,0,1,NO,YES,3029.09,Mazda,2016,1656.72,661.69,865.48,N
POL87712398,49,8,NY,500/1000,1500,1111.6,M,PhD,Tech,28266.300980465923,23926.24764056451,Theft,Minor Damage,9,2,0,1,YES,NO,7058.08,Nissan,2023,4013.55,2305.76,119.51,Y
POL18939720,42,130,PA,500/1000,1500,1572.18,M,BS,Finance,8560.871825789101,6016.104261026939,Broken Windshield,Trivial Damage,14,2,0,0,YES,YES,3183.31,Chevrolet,2017,2429.97,666.15,330.73,N
POL48730451,46,54,IN,100/300,500,4623.68,F,BS,Legal,14740.473900739815,25557.352389639997,Multi-Vehicle Collision,Major Damage,14,1,3,2,NO,YES,10905.78,Toyota,2013,7728.86,2574.01,1046.34,N
POL94558681,24,88,IN,100/300,500,4108.18,M,High School,Construction,11073.98563857872,22963.00147004372,Multi-Vehicle Collision,Major Damage,9,1,1,0,NO,NO,3816.09,Mercedes,2011,2011.82,689.69,152.64,N
POL73418807,66,1,NY,500/1000,1000,1131.11,M,MS,Tech,39872.84525430782,13444.322285112728,Parked Car Damage,Minor Damage,23,1,1,1,NO,NO,29115.959184627303,Toyota,2009,2854.56,1615.23,201.26,Y
POL96403157,20,57,OH,250/500,1500,709.52,M,MS,Medical,18240.562465093575,26845.980646294956,Broken Windshield,Minor Damage,8,1,0,1,NO,NO,3473.14,Mercedes,2015,1441.86,800.62,244.34,N
POL58593918,37,235,IN,100/300,1000,919.33,M,BS,Finance,20298.16494707648,1136.0442018191131,Theft,Minor Damage,7,2,1,0,YES,NO,3406.82,Chevrolet,2019,2320.07,1186.52,276.81,N
POL53620544,37,62,OH,500/1000,2000,1820.45,M,High School,Finance,33244.81034414457,23577.00289109174,Theft,Trivial Damage,9,1,0,1,NO,YES,5556.872090847062,Mazda,2019,746.43,335.74,289.88,Y
POL93392719,70,90,OH,100/300,2000,4151.12,F,High School,Legal,16277.363795027988,1056.0749338693531,Broken Windshield,Minor Damage,6,1,1,0,NO,NO,2525.48,Chevrolet,2006,1265.54,256.21,130.34,N
POL54063856,47,9,OH,100/300,1000,1946.19,M,BS,Finance,18890.318189829213,25949.884144790056,Single Vehicle Collision,Trivial Damage,1,1,2,2,YES,YES,3645.49,Nissan,2010,1585.75,618.07,868.58,Y
POL70207153,52,230,OH,250/500,1000,1335.45,M,BS,Other,39895.068393098394,5303.368035882935,Multi-Vehicle Collision,Trivial Damage,0,1,0,1,YES,YES,2919.62,Audi,2011,1999.13,1099.63,397.1,N
POL78420555,52,216,PA,100/300,1000,2281.28,M,MS,Construction,39726.55737232833,1148.4644350322426,Broken Windshield,Trivial Damage,4,1,2,0,YES,YES,1326.68,Mazda,2020,830.35,499.72,96.68,N
POL53544078,66,125,PA,500/1000,1000,1058.24,F,MS,Other,30228.51577319256,9263.58682974084,Theft,Total Loss,16,1,0,1,YES,YES,18505.72,Mercedes,2013,11142.42,4665.78,5152.44,N
POL96778889,56,23,NY,500/1000,1000,2615.98,M,MS,Tech,27948.877433227237,5362.148638973928,Hit and Run,Minor Damage,15,1,2,1,NO,NO,7153.98,Audi,2009,4029.58,1998.74,1051.56,N
POL22100720,44,71,PA,100/300,2000,3539.99,M,BS,Legal,9050.475354879372,19554.78389075564,Vehicle Rollover,Minor Damage,23,1,0,0,NO,YES,3468.6,Toyota,2012,2742.23,353.96,971.68,Y
POL40947112,43,8,IN,100/300,2000,2159.82,F,MS,Other,23659.153994990513,14170.869714631452,Broken Windshield,Minor Damage,3,3,0,1,YES,NO,7229.34,Toyota,2022,3476.87,1383.47,1960.54,N
POL46175780,31,109,PA,250/500,2000,1281.25,F,High School,Retail,13717.891444505869,3892.279836299217,Vehicle Rollover,Minor Damage,13,1,1,0,NO,YES,1985.15,Mazda,2006,824.78,545.51,375.78,N
POL41048667,34,164,IN,250/500,500,2539.39,M,PhD,Legal,36487.564163534116,27484.120541394266,Hit and Run,Trivial Damage,22,1,0,1,YES,YES,3957.5484959663445,Mercedes,2015,245.27,166.27,142.65,Y
POL18644262,35,1,IN,250/500,2000,3931.2,M,PhD,Tech,31396.99068621638,11033.830391295003,Single Vehicle Collision,Minor Damage,23,2,0,0,YES,YES,5635.4999285208305,Chevrolet,2011,465.37,312.64,111.0,Y
POL44704986,62,116,OH,500/1000,1500,844.67,M,PhD,Retail,18883.423804343158,8485.239350787311,Single Vehicle Collision,Trivial Damage,14,2,1,0,YES,YES,3014.84,BMW,2017,1216.14,1108.06,342.44,N
POL71101877,69,82,NY,250/500,1500,819.22,F,High School,Other,26754.725923872502,20941.649615433904,Fire Damage,Trivial Damage,0,1,1,1,YES,NO,3183.62,Nissan,2025,1561.57,786.44,78.48,N
POL03325704,46,180,OH,500/1000,1000,1931.5,F,PhD,Construction,21053.762612560422,11805.019550035486,Theft,Trivial Damage,17,2,2,2,NO,NO,2936.26,Honda,2024,1456.88,378.28,554.79,N
POL43073246,37,4,OH,250/500,2000,2367.74,M,BS,Education,7321.817859724311,4365.129485690126,Vehicle Rollover,Major Damage,7,2,0,1,YES,NO,10180.03,Nissan,2021,4431.62,2150.78,163.77,Y
POL68997490,70,151,PA,500/1000,1000,1474.12,M,BS,Other,39038.54228801236,17471.284256731302,Fire Damage,Trivial Damage,19,3,0,0,NO,YES,3158.28,Mazda,2019,1995.4,1208.25,0.65,N
POL30438177,44,235,PA,100/300,1000,621.1,M,PhD,Finance,44912.54499837071,910.851541932407,Theft,Trivial Damage,15,2,0,2,YES,NO,3462.24,Toyota,2014,2703.74,1138.12,599.8,N
POL99899246,35,8,IN,500/1000,1500,1488.02,M,PhD,Legal,46517.322887066075,18815.276115418594,Broken Windshield,Trivial Damage,15,1,0,0,YES,YES,11857.165464452528,BMW,2010,1743.58,637.91,124.04,Y
POL92470481,21,4,PA,100/300,1500,2459.16,M,MS,Legal,39459.61199701815,26026.62579944518,Broken Windshield,Minor Damage,3,1,2,0,YES,NO,21618.950339561095,Ford,2014,1624.82,414.89,338.33,Y
POL13018643,18,39,PA,500/1000,1000,857.42,M,High School,Other,41081.73417193732,7860.5107499967135,Theft,Minor Damage,12,2,2,1,YES,NO,1443.24,Toyota,2013,851.8,152.09,312.51,N
POL23145651,67,102,IL,500/1000,1500,3721.51,M,MS,Tech,2786.243307987357,25569.59958295769,Vehicle Rollover,Trivial Damage,7,1,0,1,YES,NO,4319.1,Chevrolet,2025,2507.59,1512.57,662.89,N
POL81275917,18,238,IN,100/300,1000,2984.45,M,High School,Medical,39094.55433772887,7351.188669123833,Hit and Run,Trivial Damage,23,1,1,0,NO,NO,6815.157961668066,Ford,2016,1066.46,195.01,281.84,Y
POL00343743,43,61,IN,500/1000,1000,2454.98,F,MS,Medical,15170.674697618442,6073.834572581087,Fire Damage,Minor Damage,16,3,0,0,YES,YES,2281.49,Nissan,2009,914.12,776.79,116.92,N
POL25674053,62,197,IL,500/1000,1000,2834.2,M,BS,Legal,6891.051313999863,21461.54181025384,Theft,Minor Damage,7,3,1,0,NO,YES,37453.83397524685,Mazda,2014,3525.43,1154.45,862.94,Y
POL62512311,37,4,IN,250/500,500,3451.13,M,High School,Legal,26094.845636081987,1965.2752023442865,Vehicle Rollover,Major Damage,8,3,2,0,NO,YES,10978.18,Audi,2021,5155.92,1104.93,11.16,Y
POL54111902,69,141,NY,100/300,1500,4976.59,F,PhD,Retail,28519.360940636696,1219.0495095344445,Theft,Total Loss,19,1,0,1,YES,NO,76650.13215374087,Ford,2021,7525.12,4428.62,93.0,Y
POL06071369,40,108,NY,100/300,1500,3988.04,F,High School,Retail,24240.490972093477,13679.504714148678,Hit and Run,Minor Damage,13,1,2,1,YES,YES,62507.52833350428,Mercedes,2025,4193.16,2480.11,1130.08,Y
POL30052214,27,169,IL,250/500,2000,2931.63,F,High School,Finance,32639.213914594682,1022.7963095942449,Theft,Minor Damage,23,1,3,1,NO,NO,1742.23,Ford,2015,707.43,401.24,171.66,N
POL42673538,28,177,PA,250/500,1500,3967.4,M,MS,Retail,35710.95655398485,14900.36671862582,Hit and Run,Trivial Damage,9,2,1,0,YES,YES,2155.8,Ford,2008,1394.96,640.37,89.36,N
POL42561161,58,188,NY,100/300,2000,2638.51,M,PhD,Medical,6855.658887156824,19482.84194707765,Parked Car Damage,Major Damage,20,1,1,2,YES,NO,2528.64,Chevrolet,2012,1375.79,806.08,552.51,N
POL59994426,58,3,IL,100/300,1000,1899.09,M,MS,Tech,30846.202152589365,6846.328715291985,Theft,Trivial Damage,16,1,0,0,NO,NO,2201.61,Mercedes,2022,1636.94,692.54,495.9,N
POL18455375,22,71,NY,100/300,500,1678.83,F,PhD,Tech,2722.596607307409,26966.192307929887,Broken Windshield,Minor Damage,6,1,1,1,YES,YES,7465.64,Mercedes,2013,4287.21,818.89,36.43,N
POL82682950,18,215,OH,250/500,1000,2297.66,M,MS,Retail,22438.237124885723,6008.358711899835,Broken Windshield,Major Damage,17,2,2,0,NO,YES,38675.081500709704,BMW,2014,1992.64,1117.95,1293.13,Y
POL81499402,34,202,IL,250/500,1000,510.27,M,PhD,Legal,5002.4790240423,7124.88597248604,Parked Car Damage,Trivial Damage,13,2,0,1,NO,NO,2188.6,Ford,2020,1742.04,484.87,331.07,N
POL32358593,39,16,IN,500/1000,1000,1296.3,M,High School,Retail,22480.780355964907,27391.819185377368,Theft,Trivial Damage,4,1,0,0,NO,NO,4438.59,Mercedes,2006,1898.93,1039.36,291.4,N
POL58035288,51,113,NY,250/500,2000,1069.4,M,BS,Legal,8772.159980822114,20626.255988918143,Multi-Vehicle Collision,Major Damage,12,2,0,0,NO,YES,3043.33,Ford,2023,2141.92,458.19,503.69,Y
POL05075078,73,84,IN,500/1000,500,4821.54,F,PhD,Construction,36721.5137628013,15859.089305643776,Hit and Run,Minor Damage,0,2,1,1,YES,YES,5322.62,Mazda,2013,3698.76,724.21,1556.28,N
POL19735442,62,56,IL,500/1000,1000,791.82,M,MS,Medical,44979.03442605553,9904.616760472656,Hit and Run,Minor Damage,20,3,0,1,NO,YES,4414.71,Audi,2017,2852.11,866.48,644.7,N
POL52477774,58,217,NY,250/500,2000,2754.38,M,High School,Education,8477.000962667591,23072.391693323774,Fire Damage,Total Loss,10,1,0,0,YES,YES,19216.57,Honda,2017,12676.89,7480.91,2448.63,N
POL44964930,46,106,IN,250/500,1000,4638.73,M,MS,Legal,36832.81339724678,17650.168012568913,Multi-Vehicle Collision,Minor Damage,5,1,1,2,YES,YES,3959.12,Toyota,2017,1905.69,1442.38,334.93,N
POL46400606,21,47,PA,250/500,500,3233.84,M,High School,Tech,7307.755743549204,10257.82908301192,Fire Damage,Total Loss,14,2,1,0,YES,YES,12484.08,Chevrolet,2019,6663.22,3267.9,2557.93,N
POL98826486,22,171,PA,250/500,1000,2728.71,F,High School,Retail,21685.94029475175,24779.189540381893,Parked Car Damage,Trivial Damage,13,1,0,1,YES,YES,2007.36,Honda,2007,1562.03,548.88,133.3,N
POL27553779,28,172,OH,100/300,1000,3843.47,M,PhD,Construction,31276.732790427403,23837.5204501574,Hit and Run,Trivial Damage,22,1,2,0,YES,YES,3239.22,Chevrolet,2024,2479.75,937.1,184.43,Y
POL38546091,73,218,IL,250/500,1500,2090.19,F,MS,Construction,26886.309886284027,28225.742987252594,Single Vehicle Collision,Major Damage,13,3,0,1,YES,YES,8152.92,Mazda,2024,4238.05,1502.11,2369.4,N
POL21040725,68,207,IN,500/1000,2000,1371.71,M,High School,Construction,2857.5913559005185,29846.2776024384,Broken Windshield,Minor Damage,9,2,0,0,NO,YES,6257.85,Nissan,2011,4191.45,2195.99,1444.0,N
POL45396016,38,9,OH,500/1000,500,4312.77,M,MS,Construction,18132.294074171834,345.95250442253086,Vehicle Rollover,Minor Damage,18,3,1,2,YES,YES,15219.571578251154,Chevrolet,2008,1480.09,684.44,462.08,Y
POL09932470,52,116,IL,100/300,2000,754.62,F,High School,Finance,23508.063602930455,9603.629145119727,Vehicle Rollover,Trivial Damage,2,1,0,0,NO,NO,1243.23,Nissan,2012,569.29,291.77,90.07,N
POL79262517,29,160,PA,100/300,1500,4135.07,F,PhD,Retail,19569.896085520737,5779.412367287509,Multi-Vehicle Collision,Trivial Damage,0,1,0,0,YES,NO,2044.79,Chevrolet,2020,1222.46,414.91,62.66,N
POL43160325,43,30,IN,250/500,1000,965.15,M,BS,Retail,33274.92785787264,6408.1903981521145,Parked Car Damage,Minor Damage,15,1,0,1,NO,NO,6696.77,Mazda,2007,5047.85,1355.93,655.44,N
POL03943988,68,111,NY,100/300,500,3315.06,F,BS,Other,44408.65651628816,25944.47533500518,Vehicle Rollover,Minor Damage,22,1,1,0,YES,YES,5247.97,BMW,2021,3964.55,1911.56,991.82,Y
POL44278952,36,46,PA,250/500,500,2646.71,M,BS,Construction,33383.07856715895,29247.899664986155,Multi-Vehicle Collision,Major Damage,12,1,0,1,NO,NO,9912.15,Mercedes,2020,7556.65,2331.84,1243.32,N
POL36179496,62,133,NY,250/500,2000,4993.44,M,BS,Tech,29498.122182103947,28202.041428798202,Theft,Trivial Damage,19,1,2,2,YES,NO,3021.09,BMW,2013,2237.97,457.68,319.03,N
POL45495957,24,107,NY,100/300,1000,2245.64,F,PhD,Retail,7453.279674519131,20894.130706644744,Fire Damage,Major Damage,1,1,0,1,YES,YES,9902.76,Audi,2020,5711.6,2598.91,1901.62,N
POL81273174,64,1,IN,100/300,1500,4807.79,M,PhD,Legal,17442.390758899874,16648.71947632164,Fire Damage,Trivial Damage,23,1,2,0,YES,NO,21440.12084451368,Ford,2018,1823.19,370.45,593.1,Y
POL27183224,72,70,IN,500/1000,1000,2317.01,M,PhD,Finance,27414.36322777025,19140.05598586255,Fire Damage,Minor Damage,18,3,0,2,YES,YES,1198.6,Chevrolet,2022,720.38,194.5,104.54,N
POL02393627,24,161,NY,100/300,2000,3567.65,F,MS,Legal,46702.30575743477,25670.35949077673,Multi-Vehicle Collision,Minor Damage,14,2,1,1,YES,NO,4130.55,Honda,2019,2395.09,1017.95,864.58,N
POL61764040,43,107,OH,100/300,500,3396.48,F,High School,Other,15239.097417704728,211.05778916437723,Parked Car Damage,Major Damage,14,1,2,0,YES,YES,62593.4206030206,Nissan,2025,5132.13,3107.61,3421.54,Y
POL46551128,57,52,NY,100/300,500,889.03,M,High School,Finance,16897.89101824662,12847.6619063214,Parked Car Damage,Major Damage,23,1,0,2,YES,YES,1820.9,Honda,2016,1186.56,494.88,425.44,N
POL63811050,22,141,NY,500/1000,1000,3845.15,M,BS,Other,29477.97316541609,15197.149799272274,Single Vehicle Collision,Minor Damage,4,1,0,2,YES,YES,6823.22,Audi,2008,4374.59,2528.5,1490.19,N
POL22892074,38,15,IN,250/500,1000,1439.0,M,BS,Construction,44985.00435227902,27703.836529071774,Multi-Vehicle Collision,Minor Damage,13,1,1,0,YES,YES,3071.65,BMW,2023,1719.0,531.2,180.36,N
POL59528276,31,170,IL,500/1000,1000,2247.98,F,High School,Finance,27159.99050871039,5162.2797598753705,Multi-Vehicle Collision,Major Damage,4,3,0,1,NO,YES,1817.14,Mazda,2008,1018.93,218.06,387.28,N
POL77423935,21,115,PA,100/300,1000,4019.9,M,High School,Medical,8720.583438323076,22330.68282578927,Single Vehicle Collision,Trivial Damage,10,2,1,2,NO,YES,2547.83,Mercedes,2023,1392.11,583.52,268.27,N
POL43373278,40,72,IN,100/300,1500,4749.41,M,High School,Finance,3773.9355614565316,27720.420651269957,Hit and Run,Total Loss,6,2,0,1,YES,YES,21594.53,Nissan,2016,12241.4,7086.81,3055.15,N
POL39692151,59,73,OH,100/300,1500,3019.12,F,PhD,Construction,44449.644865065704,22920.440180516838,Broken Windshield,Minor Damage,4,2,0,1,YES,YES,4273.19,Mercedes,2024,2168.48,813.22,1125.97,N
POL00260772,37,80,PA,250/500,1500,2837.23,M,PhD,Construction,33497.137468251894,308.65872888154786,Parked Car Damage,Minor Damage,6,1,1,2,YES,NO,3502.06,Toyota,2025,2063.53,987.51,200.72,N
POL14348696,32,11,IN,500/1000,1500,2772.16,F,PhD,Construction,11026.20086498956,19783.372100619054,Single Vehicle Collision,Major Damage,1,2,0,2,YES,YES,1018.64,Mercedes,2020,627.39,385.73,19.22,N
POL53715573,67,127,IN,500/1000,2000,4174.54,F,BS,Tech,36225.03516254863,6285.9387638181815,Theft,Major Damage,16,1,1,1,NO,NO,11857.13,Mazda,2019,7401.39,4128.08,3462.03,N
POL10520898,69,69,IL,250/500,500,4969.02,M,PhD,Education,35978.82656233167,18153.77612264619,Broken Windshield,Major Damage,9,1,0,0,YES,YES,3246.42,BMW,2016,2449.61,754.39,501.34,N
POL31873095,62,146,OH,500/1000,500,3351.16,F,High School,Legal,38606.224746689404,17134.841304402158,Fire Damage,Trivial Damage,22,1,3,0,YES,NO,4401.43,BMW,2016,2495.5,1517.89,60.15,N
POL07933773,46,234,OH,250/500,2000,2203.8,M,BS,Legal,44608.70652785879,28711.393128267377,Vehicle Rollover,Trivial Damage,20,3,0,0,YES,NO,1409.6,Mazda,2022,661.09,350.3,190.96,N
POL12973414,25,40,IN,250/500,2000,1483.99,M,BS,Retail,7601.613083969693,5708.649715033935,Multi-Vehicle Collision,Major Damage,22,1,1,1,NO,NO,5677.47,Audi,2011,4245.91,1859.48,440.56,N
POL85027590,58,180,IL,500/1000,1500,1394.7,F,PhD,Retail,47837.21143210016,1515.2414031668193,Multi-Vehicle Collision,Major Damage,16,1,0,1,NO,NO,1306.15,Nissan,2023,659.26,396.85,2.47,N
POL82680090,65,156,IN,500/1000,1000,4352.68,F,BS,Retail,49926.12004000681,18338.2974919847,Theft,Trivial Damage,22,3,1,0,YES,NO,2402.65,Toyota,2011,1500.9,716.55,426.87,N
POL72208712,36,197,NY,250/500,500,4965.58,F,High School,Finance,724.3271815161268,10318.099654775127,Parked Car Damage,Total Loss,0,2,3,0,YES,YES,2098.94,Mazda,2007,1426.67,805.86,452.19,N
POL18945239,65,58,NY,500/1000,2000,3640.96,M,BS,Finance,4565.181732179546,22506.433925859514,Fire Damage,Minor Damage,18,2,2,0,YES,YES,23076.294479343032,Audi,2020,2983.46,1496.91,980.45,Y
POL59602331,56,88,IL,250/500,1000,4801.23,M,MS,Finance,21697.610688408593,29796.445650353544,Hit and Run,Major Damage,23,2,0,0,YES,YES,69416.9355569356,Audi,2008,4871.94,1869.96,184.01,Y
POL59987517,63,191,IN,500/1000,1500,2074.98,F,High School,Other,1720.8872228258342,12040.951109338996,Hit and Run,Major Damage,2,3,2,1,YES,YES,1928.18,Mazda,2024,815.77,372.19,47.97,N
POL57903230,45,23,IL,500/1000,2000,3324.18,M,High School,Other,36744.87130514406,4555.462395635918,Theft,Trivial Damage,4,2,0,0,YES,YES,2787.91,Ford,2012,2220.99,437.71,777.68,N
POL88806094,63,216,IN,500/1000,500,2802.58,F,PhD,Education,32536.50607860203,16623.40657761841,Fire Damage,Minor Damage,14,2,0,1,YES,YES,5937.21,Mazda,2013,3899.48,2090.59,1218.49,N
POL17502413,74,8,IN,500/1000,500,2669.08,M,High School,Education,38792.84200667663,10385.297125221166,Parked Car Damage,Minor Damage,22,2,0,0,NO,YES,3589.82,Toyota,2024,1531.95,673.94,933.81,Y
POL00788675,44,179,NY,500/1000,500,3345.68,M,High School,Education,49920.83636717181,23840.40572947535,Parked Car Damage,Trivial Damage,22,1,0,0,YES,NO,1127.81,Mercedes,2006,616.43,332.92,69.67,Y
POL87558509,21,79,PA,100/300,2000,1896.52,M,BS,Education,46670.82155128472,16030.246440268485,Fire Damage,Major Damage,5,2,0,1,NO,NO,10277.87,Nissan,2024,5440.85,2315.06,1015.0,N
POL59145049,32,133,OH,100/300,500,3382.8,M,MS,Education,14992.46730234387,27245.563166472042,Hit and Run,Minor Damage,9,1,0,2,YES,YES,2035.74,Nissan,2009,1604.13,690.87,80.05,N
POL72366946,52,164,OH,500/1000,1500,3527.88,F,BS,Retail,19823.21461635082,25145.150518271003,Parked Car Damage,Total Loss,11,2,2,0,YES,YES,13116.23,Mercedes,2019,10265.31,4327.12,822.65,N
POL27286518,54,4,IL,500/1000,500,4262.51,M,MS,Retail,38798.356789153884,27423.50270563046,Fire Damage,Trivial Damage,3,3,2,0,YES,YES,10847.174835606933,Mazda,2022,966.66,529.98,435.46,Y
